Date & Time, Temp *C, Humidity % ,Air Quality, Water Level
[2019-12-03 11:18:50.241] ,30,46,41,42
[2019-12-03 11:18:50.251] ,30,46,35,36
[2019-12-03 11:18:50.251] ,30,46,42,43
[2019-12-03 11:18:50.251] ,30,46,35,37
[2019-12-03 11:18:50.251] ,30,46,40,41
[2019-12-03 11:18:50.251] ,30,46,36,38
[2019-12-03 11:18:50.251] ,30,46,38,40
[2019-12-03 11:18:50.251] ,30,46,40,40
[2019-12-03 11:18:50.251] ,30,46,35,37
[2019-12-03 11:18:50.251] ,30,46,40,41
[2019-12-03 11:18:50.251] ,30,46,35,36
[2019-12-03 11:18:50.251] ,30,46,40,42
[2019-12-03 11:18:50.251] ,30,46,34,36
[2019-12-03 11:18:50.251] ,30,46,40,41
[2019-12-03 11:18:50.251] ,30,46,36,37
[2019-12-03 11:18:50.251] ,30,46,38,40
[2019-12-03 11:18:50.251] ,30,46,38,39
[2019-12-03 11:18:50.251] ,30,46,36,37
[2019-12-03 11:18:50.251] ,30,46,40,41
[2019-12-03 11:18:50.251] ,30,46,35,36
[2019-12-03 11:18:50.251] ,30,46,39,41
[2019-12-03 11:18:50.251] ,30,46,35,36
[2019-12-03 11:18:50.251] ,30,46,41,42
[2019-12-03 11:18:50.251] ,30,46,35,36
[2019-12-03 11:18:50.251] ,30,46,40,41
[2019-12-03 11:18:50.251] ,30,46,36,37
[2019-12-03 11:18:50.251] ,30,45,36,38
[2019-12-03 11:18:50.251] ,30,46,38,40
[2019-12-03 11:18:50.251] ,30,46,35,36
[2019-12-03 11:18:50.251] ,30,45,40,41
[2019-12-03 11:18:50.251] ,30,46,34,35
[2019-12-03 11:18:50.251] ,30,46,39,40
[2019-12-03 11:18:50.251] ,30,46,33,34
[2019-12-03 11:18:50.251] ,30,46,40,41
[2019-12-03 11:18:50.251] ,30,46,33,35
[2019-12-03 11:18:50.251] ,30,46,38,40
[2019-12-03 11:18:50.251] ,30,46,35,36
[2019-12-03 11:18:50.251] ,30,46,35,37
[2019-12-03 11:18:50.251] ,30,46,39,40
[2019-12-03 11:18:50.251] ,30,46,34,35
[2019-12-03 11:18:50.251] ,30,46,36,37
[2019-12-03 11:18:50.251] ,30,46,39,41
[2019-12-03 11:18:50.251] ,30,46,36,38
[2019-12-03 11:18:50.251] ,30,46,34,35
[2019-12-03 11:18:50.251] ,30,46,35,37
[2019-12-03 11:18:50.677] ,30,46,38,40
[2019-12-03 11:18:52.201] ,30,45,38,39
[2019-12-03 11:18:54.120] ,30,46,34,35
[2019-12-03 11:18:55.249] ,30,45,33,35
[2019-12-03 11:18:56.773] ,30,46,37,39
[2019-12-03 11:18:58.301] ,30,45,39,41
[2019-12-03 11:19:00.181] ,30,45,36,38
[2019-12-03 11:19:01.348] ,30,46,33,34
[2019-12-03 11:19:07.357] ,30,45,34,36
[2019-12-03 11:19:07.358] ,30,46,38,40
[2019-12-03 11:19:07.358] ,30,45,39,40
[2019-12-03 11:19:07.443] ,30,45,33,35
[2019-12-03 11:19:08.966] ,30,45,36,37
[2019-12-03 11:19:10.490] ,30,46,40,41
[2019-12-03 11:19:12.013] ,30,45,36,37
[2019-12-03 11:19:13.537] ,30,45,35,36
[2019-12-03 11:19:15.064] ,30,45,40,41
[2019-12-03 11:19:16.589] ,30,46,34,36
[2019-12-03 11:19:18.112] ,30,46,36,38
[2019-12-03 11:19:19.635] ,30,46,36,38
[2019-12-03 11:19:21.160] ,30,46,35,36
[2019-12-03 11:19:22.682] ,30,46,38,39
[2019-12-03 11:19:24.206] ,30,46,34,35
[2019-12-03 11:19:25.730] ,30,46,40,41
[2019-12-03 11:19:27.254] ,30,46,33,35
[2019-12-03 11:19:28.777] ,30,46,39,40
[2019-12-03 11:19:30.306] ,30,46,36,36
[2019-12-03 11:19:31.829] ,30,46,37,38
[2019-12-03 11:19:33.353] ,30,46,39,39
[2019-12-03 11:19:34.876] ,30,46,32,34
[2019-12-03 11:19:36.400] ,30,46,40,42
[2019-12-03 11:19:37.923] ,30,46,33,34
[2019-12-03 11:19:39.447] ,30,46,36,38
[2019-12-03 11:19:40.970] ,30,46,38,40
[2019-12-03 11:19:42.494] ,30,46,32,33
[2019-12-03 11:19:44.019] ,30,46,40,41
[2019-12-03 11:19:45.543] ,30,46,35,37
[2019-12-03 11:19:47.066] ,30,46,36,37
[2019-12-03 11:19:48.583] ,30,46,39,39
[2019-12-03 11:19:50.117] ,30,46,34,36
[2019-12-03 11:19:51.626] ,30,46,38,40
[2019-12-03 11:19:53.164] ,30,46,35,36
[2019-12-03 11:19:54.678] ,30,46,39,40
[2019-12-03 11:19:56.198] ,30,46,34,35
[2019-12-03 11:19:57.732] ,30,46,40,41
[2019-12-03 11:19:59.258] ,30,46,35,36
[2019-12-03 11:20:00.773] ,30,46,38,39
[2019-12-03 11:20:02.304] ,30,46,38,39
[2019-12-03 11:20:03.828] ,30,46,36,37
[2019-12-03 11:20:05.357] ,30,46,38,40
[2019-12-03 11:20:06.878] ,30,46,36,37
[2019-12-03 11:20:08.405] ,30,46,36,38
[2019-12-03 11:20:09.914] ,30,46,39,39
[2019-12-03 11:20:11.439] ,30,46,35,36
[2019-12-03 11:20:12.976] ,30,46,38,40
[2019-12-03 11:20:14.485] ,30,46,36,37
[2019-12-03 11:20:16.023] ,30,46,38,39
[2019-12-03 11:20:17.550] ,30,46,37,38
[2019-12-03 11:20:19.075] ,30,46,36,37
[2019-12-03 11:20:20.589] ,30,46,38,39
[2019-12-03 11:20:22.116] ,30,46,34,36
[2019-12-03 11:20:23.643] ,30,46,39,40
[2019-12-03 11:20:25.178] ,30,46,36,37
[2019-12-03 11:20:26.688] ,30,46,37,38
[2019-12-03 11:20:28.217] ,30,46,38,39
[2019-12-03 11:20:29.730] ,30,46,35,36
[2019-12-03 11:20:31.255] ,30,46,38,40
[2019-12-03 11:20:32.784] ,30,46,36,36
[2019-12-03 11:20:34.316] ,30,46,37,38
[2019-12-03 11:20:35.827] ,30,46,38,39
[2019-12-03 11:20:37.361] ,30,46,34,36
[2019-12-03 11:20:38.876] ,30,46,37,38
[2019-12-03 11:20:40.407] ,30,46,39,39
[2019-12-03 11:20:41.933] ,30,46,34,36
[2019-12-03 11:20:43.456] ,30,46,38,39
[2019-12-03 11:20:44.980] ,30,46,38,39
[2019-12-03 11:20:46.500] ,30,46,35,36
[2019-12-03 11:20:48.033] ,30,46,37,39
[2019-12-03 11:20:49.546] ,30,46,35,37
[2019-12-03 11:20:51.080] ,30,46,36,37
[2019-12-03 11:20:52.598] ,30,46,38,39
[2019-12-03 11:20:54.123] ,30,46,35,36
[2019-12-03 11:20:55.645] ,30,46,38,39
[2019-12-03 11:20:57.171] ,30,46,35,36
[2019-12-03 11:20:58.697] ,30,46,36,37
[2019-12-03 11:21:00.216] ,30,45,38,39
[2019-12-03 11:21:01.735] ,30,46,34,36
[2019-12-03 11:21:03.266] ,30,45,38,39
[2019-12-03 11:21:04.793] ,30,45,37,37
[2019-12-03 11:21:06.319] ,30,45,36,37
[2019-12-03 11:21:07.838] ,30,45,37,39
[2019-12-03 11:21:09.359] ,30,46,35,36
[2019-12-03 11:21:10.888] ,30,45,37,39
[2019-12-03 11:21:12.402] ,30,45,36,37
[2019-12-03 11:21:13.934] ,30,45,35,37
[2019-12-03 11:21:15.462] ,30,46,38,39
