 Date & Time, Temp *C,Humidity % , Air Quality,Water Level
[2019-12-03 11:54:35.969] ,23,48,54,55
[2019-12-03 11:54:35.969] ,23,48,54,54
[2019-12-03 11:54:35.969] ,23,48,54,54
[2019-12-03 11:54:35.969] ,23,48,54,54
[2019-12-03 11:54:35.969] ,23,48,54,54
[2019-12-03 11:54:35.969] ,23,48,54,54
[2019-12-03 11:54:35.969] ,23,48,54,54
[2019-12-03 11:54:35.969] ,23,48,54,54
[2019-12-03 11:54:35.969] ,23,48,54,55
[2019-12-03 11:54:35.969] ,23,48,54,55
[2019-12-03 11:54:36.358] ,23,48,54,55
[2019-12-03 11:54:37.882] ,23,48,54,55
[2019-12-03 11:54:39.400] ,23,48,49,50
[2019-12-03 11:54:40.929] ,23,48,51,51
[2019-12-03 11:54:42.453] ,23,48,51,52
[2019-12-03 11:54:43.977] ,23,48,52,52
[2019-12-03 11:54:45.498] ,23,48,52,52
[2019-12-03 11:54:47.025] ,22,48,51,52
[2019-12-03 11:54:48.548] ,22,48,51,52
[2019-12-03 11:54:50.070] ,22,49,52,52
[2019-12-03 11:54:51.594] ,22,49,51,52
[2019-12-03 11:54:53.114] ,22,48,52,52
[2019-12-03 11:54:54.640] ,22,48,51,52
[2019-12-03 11:54:56.163] ,22,48,52,52
[2019-12-03 11:54:57.690] ,22,48,52,52
[2019-12-03 11:54:59.213] ,23,48,59,59
[2019-12-03 11:55:00.738] ,23,48,65,66
[2019-12-03 11:55:02.259] ,22,47,69,70
[2019-12-03 11:55:03.782] ,22,47,50,52
[2019-12-03 11:55:05.306] ,22,47,41,42
[2019-12-03 11:55:06.830] ,22,47,52,54
[2019-12-03 11:55:08.357] ,22,47,35,36
[2019-12-03 11:55:09.884] ,22,47,38,40
[2019-12-03 11:55:11.407] ,22,47,33,34
[2019-12-03 11:55:12.930] ,22,47,30,31
[2019-12-03 11:55:14.451] ,22,46,31,33
[2019-12-03 11:55:15.977] ,22,46,30,32
[2019-12-03 11:55:17.498] ,22,46,40,41
[2019-12-03 11:55:19.025] ,22,46,48,49
[2019-12-03 11:55:20.549] ,22,45,54,55
[2019-12-03 11:55:22.072] ,22,45,40,41
[2019-12-03 11:55:23.594] ,22,45,40,41
[2019-12-03 11:55:25.118] ,22,45,37,38
[2019-12-03 11:55:26.644] ,22,45,41,43
[2019-12-03 11:55:28.165] ,22,45,37,38
[2019-12-03 11:55:29.690] ,22,46,34,35
[2019-12-03 11:55:31.213] ,22,46,34,35
[2019-12-03 11:55:32.738] ,22,46,32,33
[2019-12-03 11:55:34.261] ,22,46,30,32
[2019-12-03 11:55:35.786] ,21,46,33,34
[2019-12-03 11:55:37.308] ,21,46,30,31
[2019-12-03 11:55:38.830] ,21,46,37,38
[2019-12-03 11:55:40.355] ,21,46,38,39
[2019-12-03 11:55:41.880] ,21,46,36,37
[2019-12-03 11:55:43.399] ,21,46,35,36
[2019-12-03 11:55:44.919] ,21,46,33,34
[2019-12-03 11:55:46.449] ,21,46,36,37
[2019-12-03 11:55:47.973] ,21,46,38,39
[2019-12-03 11:55:49.490] ,21,46,34,36
[2019-12-03 11:55:51.020] ,21,46,36,37
[2019-12-03 11:55:52.544] ,21,46,36,37
[2019-12-03 11:55:54.069] ,21,46,36,38
[2019-12-03 11:55:55.589] ,21,46,35,36
[2019-12-03 11:55:57.113] ,21,46,39,40
[2019-12-03 11:55:58.640] ,21,46,36,37
[2019-12-03 11:56:00.161] ,21,46,33,34
[2019-12-03 11:56:01.680] ,21,47,31,32
[2019-12-03 11:56:03.210] ,21,47,28,29
[2019-12-03 11:56:04.739] ,21,47,28,30
[2019-12-03 11:56:06.262] ,21,47,29,30
[2019-12-03 11:56:07.787] ,21,47,30,31
[2019-12-03 11:56:09.310] ,21,47,30,32
[2019-12-03 11:56:10.833] ,21,47,31,33
[2019-12-03 11:56:12.357] ,21,47,31,32
[2019-12-03 11:56:13.878] ,21,47,31,32
[2019-12-03 11:56:15.402] ,21,47,31,33
[2019-12-03 11:56:16.930] ,21,47,32,33
[2019-12-03 11:56:18.452] ,21,47,32,33
[2019-12-03 11:56:19.976] ,21,47,32,34
[2019-12-03 11:56:21.499] ,21,47,32,34
[2019-12-03 11:56:23.029] ,21,47,32,33
[2019-12-03 11:56:24.544] ,21,48,32,33
[2019-12-03 11:56:26.069] ,21,47,31,32
[2019-12-03 11:56:27.592] ,21,47,29,31
[2019-12-03 11:56:29.116] ,21,47,28,30
[2019-12-03 11:56:30.640] ,21,47,30,31
[2019-12-03 11:56:32.166] ,21,47,29,31
[2019-12-03 11:56:33.688] ,21,47,28,30
[2019-12-03 11:56:35.209] ,21,47,29,30
[2019-12-03 11:56:36.733] ,21,47,28,30
[2019-12-03 11:56:38.259] ,21,47,28,30
[2019-12-03 11:56:39.781] ,21,47,28,30
[2019-12-03 11:56:41.301] ,21,47,28,29
[2019-12-03 11:56:42.830] ,21,47,28,29
[2019-12-03 11:56:44.352] ,21,47,27,29
[2019-12-03 11:56:45.877] ,21,47,27,28
[2019-12-03 11:56:47.400] ,21,47,28,29
[2019-12-03 11:56:48.927] ,21,47,28,29
[2019-12-03 11:56:50.451] ,21,47,28,29
