 Date_Time, Temp,Humidity, Air_Quality, Water_Level
[2019-12-03 12:06:02.808] ,21,46,224,202
[2019-12-03 12:06:02.808] ,21,45,90,89
[2019-12-03 12:06:02.808] ,21,45,158,158
[2019-12-03 12:06:02.808] ,21,45,58,58
[2019-12-03 12:06:02.808] ,21,45,58,59
[2019-12-03 12:06:02.808] ,21,45,74,74
[2019-12-03 12:06:02.808] ,21,45,77,77
[2019-12-03 12:06:02.808] ,21,45,88,87
[2019-12-03 12:06:02.808] ,21,45,117,117
[2019-12-03 12:06:02.808] ,21,45,94,94
[2019-12-03 12:06:02.808] ,21,45,85,85
[2019-12-03 12:06:04.295] ,21,45,84,84
[2019-12-03 12:06:05.818] ,21,45,245,244
[2019-12-03 12:06:07.343] ,22,46,159,158
[2019-12-03 12:06:08.865] ,22,46,108,108
[2019-12-03 12:06:10.389] ,22,46,114,114
[2019-12-03 12:06:11.913] ,22,46,74,74
[2019-12-03 12:06:13.433] ,22,46,77,77
[2019-12-03 12:06:14.961] ,22,46,80,81
[2019-12-03 12:06:16.483] ,22,46,145,144
[2019-12-03 12:06:18.006] ,22,46,95,95
[2019-12-03 12:06:19.529] ,22,46,105,105
[2019-12-03 12:06:21.056] ,22,48,71,72
[2019-12-03 12:06:22.580] ,22,49,70,72
[2019-12-03 12:06:24.105] ,22,52,60,61
[2019-12-03 12:06:25.629] ,22,54,58,59
[2019-12-03 12:06:27.152] ,22,57,48,49
[2019-12-03 12:06:28.677] ,22,60,47,48
[2019-12-03 12:06:30.199] ,22,61,46,47
[2019-12-03 12:06:31.723] ,22,63,45,46
[2019-12-03 12:06:33.247] ,22,65,46,47
[2019-12-03 12:06:34.772] ,22,66,57,58
[2019-12-03 12:06:36.294] ,23,67,61,61
[2019-12-03 12:06:37.819] ,23,68,56,56
[2019-12-03 12:06:39.340] ,23,68,61,61
[2019-12-03 12:06:40.866] ,23,69,61,62
[2019-12-03 12:06:42.389] ,23,69,58,59
[2019-12-03 12:06:43.913] ,23,70,53,54
[2019-12-03 12:06:45.437] ,23,70,52,54
[2019-12-03 12:06:46.962] ,23,70,51,52
[2019-12-03 12:06:48.484] ,23,70,39,40
[2019-12-03 12:06:50.008] ,23,70,42,42
[2019-12-03 12:06:51.532] ,23,70,60,61
[2019-12-03 12:06:53.053] ,23,70,46,47
[2019-12-03 12:06:54.579] ,24,70,46,46
[2019-12-03 12:06:56.101] ,24,69,45,45
[2019-12-03 12:06:57.625] ,24,69,45,46
[2019-12-03 12:06:59.149] ,24,69,48,50
[2019-12-03 12:07:00.674] ,24,68,50,51
[2019-12-03 12:07:02.199] ,24,67,51,53
[2019-12-03 12:07:03.719] ,24,66,50,52
[2019-12-03 12:07:05.241] ,24,65,50,52
[2019-12-03 12:07:06.769] ,24,64,48,50
[2019-12-03 12:07:08.293] ,24,64,48,49
[2019-12-03 12:07:09.817] ,25,64,54,56
[2019-12-03 12:07:11.339] ,25,64,59,61
[2019-12-03 12:07:12.863] ,25,63,64,67
[2019-12-03 12:07:14.384] ,25,62,59,62
[2019-12-03 12:07:15.909] ,25,62,64,66
[2019-12-03 12:07:17.433] ,25,61,62,64
[2019-12-03 12:07:18.957] ,25,61,57,60
[2019-12-03 12:07:20.481] ,25,60,56,58
[2019-12-03 12:07:22.006] ,25,60,54,56
[2019-12-03 12:07:23.526] ,26,60,52,55
[2019-12-03 12:07:25.053] ,26,60,49,50
[2019-12-03 12:07:26.580] ,26,59,51,53
[2019-12-03 12:07:28.104] ,26,59,43,44
[2019-12-03 12:07:29.619] ,26,58,43,44
[2019-12-03 12:07:31.153] ,26,58,45,46
[2019-12-03 12:07:32.673] ,26,57,43,44
[2019-12-03 12:07:34.197] ,26,57,45,45
[2019-12-03 12:07:35.719] ,27,57,44,44
[2019-12-03 12:07:37.247] ,27,56,44,45
[2019-12-03 12:07:38.767] ,27,56,45,46
[2019-12-03 12:07:40.291] ,27,56,45,46
[2019-12-03 12:07:41.813] ,27,56,46,47
[2019-12-03 12:07:43.339] ,27,56,48,49
[2019-12-03 12:07:44.865] ,27,56,48,49
[2019-12-03 12:07:46.389] ,27,56,50,51
[2019-12-03 12:07:47.909] ,27,55,50,51
[2019-12-03 12:07:49.434] ,27,55,51,52
[2019-12-03 12:07:50.957] ,27,55,52,53
[2019-12-03 12:07:52.481] ,28,56,53,53
[2019-12-03 12:07:54.004] ,28,56,58,58
[2019-12-03 12:07:55.529] ,28,55,32,34
[2019-12-03 12:07:57.052] ,28,55,89,91
[2019-12-03 12:07:58.576] ,28,55,152,156
[2019-12-03 12:08:00.101] ,28,55,142,143
[2019-12-03 12:08:01.629] ,28,54,113,115
[2019-12-03 12:08:03.153] ,28,54,96,128
[2019-12-03 12:08:04.674] ,28,53,128,146
[2019-12-03 12:08:06.199] ,28,53,129,133
[2019-12-03 12:08:07.723] ,28,53,102,102
[2019-12-03 12:08:09.247] ,28,53,200,200
[2019-12-03 12:08:10.770] ,28,53,210,209
[2019-12-03 12:08:12.292] ,28,52,223,222
[2019-12-03 12:08:13.816] ,29,53,224,223
[2019-12-03 12:08:15.340] ,29,53,289,287
[2019-12-03 12:08:16.863] ,29,52,267,266
[2019-12-03 12:08:18.389] ,29,52,286,286
[2019-12-03 12:08:19.913] ,29,52,292,293
[2019-12-03 12:08:21.429] ,29,51,276,278
[2019-12-03 12:08:22.961] ,29,51,280,281
[2019-12-03 12:08:24.484] ,29,51,288,289
[2019-12-03 12:08:26.012] ,29,51,279,280
[2019-12-03 12:08:27.535] ,29,51,270,271
[2019-12-03 12:08:29.057] ,29,50,255,256
[2019-12-03 12:08:30.580] ,29,50,268,267
[2019-12-03 12:08:32.105] ,29,50,272,272
[2019-12-03 12:08:33.629] ,29,49,267,266
[2019-12-03 12:08:35.154] ,29,49,269,269
[2019-12-03 12:08:36.676] ,29,49,266,266
[2019-12-03 12:08:38.199] ,29,49,269,269
[2019-12-03 12:08:39.723] ,29,48,278,277
[2019-12-03 12:08:41.247] ,29,48,269,268
[2019-12-03 12:08:42.772] ,29,48,265,265
[2019-12-03 12:08:44.293] ,29,48,259,258
[2019-12-03 12:08:45.819] ,30,48,252,252
[2019-12-03 12:08:47.339] ,30,48,245,246
[2019-12-03 12:08:48.864] ,30,48,250,251
[2019-12-03 12:08:50.389] ,30,47,252,252
[2019-12-03 12:08:51.917] ,30,48,253,253
[2019-12-03 12:08:53.442] ,30,48,254,253
[2019-12-03 12:08:54.964] ,30,48,244,245
[2019-12-03 12:08:56.489] ,30,48,258,258
[2019-12-03 12:08:58.009] ,30,48,258,258
[2019-12-03 12:08:59.536] ,30,48,227,228
[2019-12-03 12:09:01.058] ,30,48,224,224
[2019-12-03 12:09:02.583] ,30,47,274,274
[2019-12-03 12:09:04.104] ,30,47,278,278
[2019-12-03 12:09:05.629] ,30,47,283,283
[2019-12-03 12:09:07.152] ,30,47,259,259
[2019-12-03 12:09:08.669] ,30,47,274,274
[2019-12-03 12:09:10.201] ,30,46,262,263
[2019-12-03 12:09:11.730] ,30,46,272,272
[2019-12-03 12:09:13.252] ,30,46,268,269
[2019-12-03 12:09:14.775] ,30,46,263,264
[2019-12-03 12:09:16.301] ,30,46,128,127
[2019-12-03 12:09:17.823] ,30,46,84,85
[2019-12-03 12:09:19.348] ,30,46,89,90
[2019-12-03 12:09:20.869] ,31,47,97,98
[2019-12-03 12:09:22.389] ,31,47,115,115
[2019-12-03 12:09:23.919] ,31,47,131,132
[2019-12-03 12:09:25.439] ,31,47,143,143
[2019-12-03 12:09:26.964] ,31,47,155,155
[2019-12-03 12:09:28.489] ,31,47,171,170
[2019-12-03 12:09:30.012] ,31,47,178,178
[2019-12-03 12:09:31.540] ,31,47,189,189
[2019-12-03 12:09:33.065] ,31,47,151,152
[2019-12-03 12:09:34.585] ,31,47,166,166
[2019-12-03 12:09:36.109] ,31,46,170,170
[2019-12-03 12:09:37.629] ,31,46,171,171
[2019-12-03 12:09:39.160] ,31,46,186,186
[2019-12-03 12:09:40.683] ,31,46,169,168
[2019-12-03 12:09:42.207] ,31,46,74,78
[2019-12-03 12:09:43.731] ,31,46,54,58
[2019-12-03 12:09:45.251] ,31,46,52,54
[2019-12-03 12:09:46.778] ,31,45,44,48
[2019-12-03 12:09:48.300] ,31,45,83,84
[2019-12-03 12:09:49.823] ,31,45,55,57
[2019-12-03 12:09:51.349] ,31,45,58,59
[2019-12-03 12:09:52.877] ,31,45,29,30
[2019-12-03 12:09:54.399] ,31,45,36,38
[2019-12-03 12:09:55.921] ,31,45,33,35
[2019-12-03 12:09:57.449] ,31,45,36,38
[2019-12-03 12:09:58.969] ,31,45,26,27
[2019-12-03 12:10:00.493] ,32,44,80,87
[2019-12-03 12:10:02.016] ,31,44,44,48
[2019-12-03 12:10:03.544] ,31,44,53,59
[2019-12-03 12:10:05.064] ,31,44,79,90
[2019-12-03 12:10:06.589] ,31,44,39,41
[2019-12-03 12:10:08.113] ,31,44,40,41
[2019-12-03 12:10:09.636] ,31,44,825,817
[2019-12-03 12:10:11.159] ,31,44,847,841
[2019-12-03 12:10:12.683] ,31,44,861,855
[2019-12-03 12:10:14.211] ,31,44,863,855
[2019-12-03 12:10:15.733] ,31,44,30,30
[2019-12-03 12:10:17.256] ,31,44,867,859
[2019-12-03 12:10:18.780] ,31,44,869,861
[2019-12-03 12:10:20.309] ,31,44,870,862
[2019-12-03 12:10:21.829] ,31,44,871,863
[2019-12-03 12:10:23.353] ,31,44,872,864
[2019-12-03 12:10:24.878] ,31,44,872,865
[2019-12-03 12:10:26.401] ,31,44,873,866
[2019-12-03 12:10:27.924] ,31,44,876,868
[2019-12-03 12:10:29.448] ,31,44,875,867
[2019-12-03 12:10:30.969] ,31,44,875,867
[2019-12-03 12:10:32.493] ,31,44,874,867
[2019-12-03 12:10:34.021] ,31,44,875,867
[2019-12-03 12:10:35.545] ,31,44,875,868
[2019-12-03 12:10:37.069] ,31,44,875,868
[2019-12-03 12:10:39.773] ,31,44,876,869
[2019-12-03 12:10:40.119] ,31,44,875,868
